
ads-authenticationInterceptor m-oid=1.3.6.1.4.1.18060.0.4.1.3.131
ads-authenticator m-oid=1.3.6.1.4.1.18060.0.4.1.3.901
ads-authenticatorImpl m-oid=1.3.6.1.4.1.18060.0.4.1.3.902
ads-base m-oid=1.3.6.1.4.1.18060.0.4.1.3.0
ads-changeLog m-oid=1.3.6.1.4.1.18060.0.4.1.3.120
ads-changePasswordServer m-oid=1.3.6.1.4.1.18060.0.4.1.3.800
ads-delegatingAuthenticator m-oid=1.3.6.1.4.1.18060.0.4.1.3.904
ads-dhcpServer m-oid=1.3.6.1.4.1.18060.0.4.1.3.600
ads-directoryService m-oid=1.3.6.1.4.1.18060.0.4.1.3.100
ads-dnsServer m-oid=1.3.6.1.4.1.18060.0.4.1.3.500
ads-dsBasedServer m-oid=1.3.6.1.4.1.18060.0.4.1.3.260
ads-extendedOpHandler m-oid=1.3.6.1.4.1.18060.0.4.1.3.802
ads-httpServer m-oid=1.3.6.1.4.1.18060.0.4.1.3.804
ads-httpWebApp m-oid=1.3.6.1.4.1.18060.0.4.1.3.803
ads-index m-oid=1.3.6.1.4.1.18060.0.4.1.3.160
ads-interceptor m-oid=1.3.6.1.4.1.18060.0.4.1.3.130
ads-jdbmIndex m-oid=1.3.6.1.4.1.18060.0.4.1.3.161
ads-jdbmPartition m-oid=1.3.6.1.4.1.18060.0.4.1.3.151
ads-journal m-oid=1.3.6.1.4.1.18060.0.4.1.3.140
ads-kdcServer m-oid=1.3.6.1.4.1.18060.0.4.1.3.400
ads-ldapServer m-oid=1.3.6.1.4.1.18060.0.4.1.3.300
ads-ntpServer m-oid=1.3.6.1.4.1.18060.0.4.1.3.700
ads-partition m-oid=1.3.6.1.4.1.18060.0.4.1.3.150
ads-passwordPolicy m-oid=1.3.6.1.4.1.18060.0.4.1.3.900
ads-replConsumer m-oid=1.3.6.1.4.1.18060.0.4.1.3.806
ads-replEventLog m-oid=1.3.6.1.4.1.18060.0.4.1.3.805
ads-saslMechHandler m-oid=1.3.6.1.4.1.18060.0.4.1.3.801
ads-server m-oid=1.3.6.1.4.1.18060.0.4.1.3.250
ads-tcpTransport m-oid=1.3.6.1.4.1.18060.0.4.1.3.19
ads-transport m-oid=1.3.6.1.4.1.18060.0.4.1.3.18
ads-udpTransport m-oid=1.3.6.1.4.1.18060.0.4.1.3.20
